ᆜ	j ɯ	jㅡ
잘	t͡ɕ a̠ ɭ	잘
잘그	t͡ɕ a̠ ɭ ɡ ɯ	잘그
잘다	t͡ɕ a̠ ɭ d a̠	잘다
잘되다	t͡ɕ a̠ ɭ d w e̞ d a̠	잘되다
잘못하다	t͡ɕ a̠ ɭ m o̞ tʰ a̠ d a̠	잘모타다
잠	t͡ɕ a̠ m	잠
잠간	t͡ɕ a̠ m k͈ a̠ n	잠깐
잠기다	t͡ɕ a̠ m ɡ i d a̠	잠기다
잠꾸러기	t͡ɕ a̠ m k͈ u ɾ ʌ̹ ɡ i	잠꾸러기
잠언	t͡ɕ a̠ m ʌ̹ n	자먼
잠자리	t͡ɕ a̠ m d͡ʑ a̠ ɾ i	잠자리
잠잠우물	t͡ɕ a̠ m d͡ʑ a̠ m u m u ɭ	잠자무물
잡	t͡ɕ a̠ p̚	잡
잡기	t͡ɕ a̠ p̚ k͈ i	잡끼
잡담	t͡ɕ a̠ p̚ t͈ a̠ m	잡땀
잡담하다	t͡ɕ a̠ p̚ t͈ a̠ m ɦ a̠ d a̠	잡땀하다
잡수다	t͡ɕ a̠ p s͈ u d a̠	잡쑤다
잡신	t͡ɕ a̠ p ɕ͈ i n	잡씬
잡아가다	t͡ɕ a̠ b a̠ ɡ a̠ d a̠	자바가다
잡아먹다	t͡ɕ a̠ b a̠ m ʌ̹ k̚ t͈ a̠	자바먹따
잡언	t͡ɕ a̠ b ʌ̹ n	자번
잡화	t͡ɕ a̠ pʰ w a̠	자퐈
잣	t͡ɕ a̠ t̚	잗
장	t͡ɕ a̠ ŋ	장
장가가다	t͡ɕ a̠ː ŋ ɡ a̠ ɡ a̠ d a̠	장가가다
장강	t͡ɕ a̠ ŋ ɡ a̠ ŋ	장강
장광설	t͡ɕ a̠ ŋ ɡ w a̠ ŋ sʰ ʌ̹ ɭ	장광설
장군풀	t͡ɕ a̠ ŋ ɡ u n pʰ u ɭ	장군풀
장기	t͡ɕ a̠ ŋ ɡ i	장기
장냔	t͡ɕ a̠ ŋ ɲ a̠ n	장난
장뇌	t͡ɕ a̠ ŋ n w e̞	장뇌
장님	t͡ɕ a̠ː ŋ n i m	장님
장단점	t͡ɕ a̠ ŋ d a̠ ɲ t͡ɕ͈ ʌ̹ m	장단쩜
장담	t͡ɕ a̠ː ŋ d a̠ m	장담
장담하다	t͡ɕ a̠ː ŋ d a̠ m ɦ a̠ d a̠	장담하다
장력	t͡ɕ a̠ ŋ ɲ ʌ̹ k̚	장넉
장례식	t͡ɕ a̠ː ŋ ɲ e̞ ɕʰ i k̚	장네식
장로	t͡ɕ a̠ː ŋ n o̞	장노
장막	t͡ɕ a̠ ŋ m a̠ k̚	장막
장문	t͡ɕ a̠ ŋ m u n	장문
장발	t͡ɕ a̠ ŋ b a̠ ɭ	장발
장병	t͡ɕ a̠ ŋ b j ʌ̹ ŋ	장병
장서	t͡ɕ a̠ ŋ sʰ ʌ̹	장서
장수	t͡ɕ a̠ ŋ sʰ u	장수
장수말벌	t͡ɕ a̠ ŋ sʰ u m a̠ ɭ b ʌ̹ ɭ	장수말벌
장시	t͡ɕ a̠ ŋ ɕʰ i	장시
장악	t͡ɕ a̠ː ŋ a̠ k̚	장악
장요근	t͡ɕ a̠ː ŋ j o ɡ ɯ n	장요근
장음	t͡ɕ a̠ ŋ ɯ m	장음
장인	t͡ɕ a̠ ŋ i n	장인
장자	t͡ɕ a̠ ŋ d͡ʑ a̠	장자
장타율	t͡ɕ a̠ ŋ tʰ a̠ j u ɭ	장타율
재가승	t͡ɕ ɛː ɡ a̠ sʰ ɯ ŋ	재가승
재구	t͡ɕ ɛː ɡ u	재구
재다	t͡ɕ ɛː d a̠	재다
재상	t͡ɕ ɛː sʰ a̠ ŋ	재상
재소자	t͡ɕ ɛː sʰ o̞ d͡ʑ a̠	재소자
재야당	t͡ɕ ɛː j a̠ d a̠ ŋ	재야당
재일조선어	t͡ɕ ɛː i ʎ d͡ʑ o̞ sʰ ʌ̹ n ʌ̹	재일조서너
재일한국어	t͡ɕ e̞ i ɾ h a̠ n ɡ u ɡ o̞	제일한구고
쟈바	t͡ɕ a̠ b a̠	자바
저	t͡ɕ ʌ̹	저
저널리즘	t͡ɕ ʌ̹ n ʌ̹ ʎ ʎ i d͡ʑ ɯ m	저널리즘
저녁놀	t͡ɕ ʌ̹ ɲ ʌ̹ ŋ n o̞ ɭ	저넝놀
저녁밥	t͡ɕ ʌ̹ ɲ ʌ̹ k̚ p͈ a̠ p̚	저넉빱
저돌	t͡ɕ ʌ̹ d o̞ ɭ	저돌
저리다	t͡ɕ ʌ̹ ɾ i d a̠	저리다
저마늄	t͡ɕ ʌ̹ m a̠ ɲ u m	저마눔
저물다	t͡ɕ ʌ̹ m u ɭ d a̠	저물다
저울	t͡ɕ ʌ̹ u ɭ	저울
저토록	t͡ɕ ʌ̹ tʰ o̞ ɾ o̞ k̚	저토록
적	t͡ɕ ʌ̹ k̚	적
적경	t͡ɕ ʌ̹ k̚ k͈ j ʌ̹ ŋ	적꼉
적국	t͡ɕ ʌ̹ k̚ k͈ u k̚	적꾹
적나라하다	t͡ɕ ʌ̹ ŋ n a̠ ɾ a̠ ɦ a̠ d a̠	정나라하다
적다	t͡ɕ ʌ̹ k̚ t͈ a̠	적따
적당량	t͡ɕ ʌ̹ k̚ t͈ a̠ ŋ ɲ a̠ ŋ	적땅낭
적량	t͡ɕ ʌ̹ ŋ ɲ a̠ ŋ	정낭
적법	t͡ɕ ʌ̹ k̚ p͈ ʌ̹ p̚	적뻡
적법하다	t͡ɕ ʌ̹ k̚ p͈ ʌ̹ pʰ a̠ d a̠	적뻐파다
적삼	t͡ɕ ʌ̹ k s͈ a̠ m	적쌈
적위	t͡ɕ ʌ̹ ɡ ɥ i	저귀
적절히	t͡ɕ ʌ̹ k̚ t͡ɕ͈ ʌ̹ ɾ ʝ i	적쩔히
적확하다	t͡ɕ ʌ̹ kʰ w a̠ kʰ a̠ d a̠	저콰카다
전	t͡ɕ ʌ̹ n	전
전경	t͡ɕ ʌ̹ n ɡ j ʌ̹ ŋ	전경
전국	t͡ɕ ʌ̹ n ɡ u k̚	전국
전기종합악기	t͡ɕ ʌ̹ n ɡ i d͡ʑ o̞ ŋ ɦ a̠ b a̠ k̚ k͈ i	전기종하박끼
전단	t͡ɕ ʌ̹ n d a̠ n	전단
전달하다	t͡ɕ ʌ̹ n d a̠ ɾ ɦ a̠ d a̠	전달하다
전라남북도	t͡ɕ ʌ̹ ɭ ɭ a̠ n a̠ m b u k̚ t͈ o̞	절라남북또
전면	t͡ɕ ʌ̹ n m j ʌ̹ n	전면
전멸	t͡ɕ ʌ̹ n m j ʌ̹ ɭ	전멸
전문일꾼	t͡ɕ ʌ̹ n m u n i ɭ k͈ u n	전무닐꾼
전선	t͡ɕ ʌ̹ n sʰ ʌ̹ n	전선
전성기	t͡ɕ ʌ̹ n sʰ ʌ̹ ŋ ɡ i	전성기
전세	t͡ɕ ʌ̹ n sʰ e̞	전세
전속력	t͡ɕ ʌ̹ n sʰ o̞ ŋ ɲ ʌ̹ k̚	전송넉
전언	t͡ɕ ʌ̹ n ʌ̹ n	저넌
전언판	t͡ɕ ʌ̹ n ʌ̹ n pʰ a̠ n	저넌판
전자가마	t͡ɕ ʌ̹ ɲ d͡ʑ a̠ ɡ a̠ m a̠	전자가마
전자기파	t͡ɕ ʌ̹ ɲ d͡ʑ a̠ ɡ i pʰ a̠	전자기파
전자메일	t͡ɕ ʌ̹ ɲ d͡ʑ a̠ m e̞ i ɭ	전자메일
전지전능	t͡ɕ ʌ̹ ɲ d͡ʑ i d͡ʑ ʌ̹ n n ɯ ŋ	전지전능
전직	t͡ɕ ʌ̹ ɲ d͡ʑ i k̚	전직
전집	t͡ɕ ʌ̹ ɲ d͡ʑ i p̚	전집
전치사	t͡ɕ ʌ̹ ɲ t͡ɕʰ i sʰ a̠	전치사
전파	t͡ɕ ʌ̹ n pʰ a̠	전파
전화하다	t͡ɕ ʌ̹ n β w a̠ ɦ a̠ d a̠	전화하다
절강	t͡ɕ ʌ̹ ɭ ɡ a̠ ŋ	절강
절단	t͡ɕ ʌ̹ ɭ t͈ a̠ n	절딴
절단하다	t͡ɕ ʌ̹ ɭ t͈ a̠ n ɦ a̠ d a̠	절딴하다
절도하다	t͡ɕ ʌ̹ ɭ d o̞ ɦ a̠ d a̠	절도하다
절따빛	t͡ɕ ʌ̹ ɭ t͈ a̠ b i t̚	절따빋
절약하다	t͡ɕ ʌ̹ ɾ j a̠ kʰ a̠ d a̠	저랴카다
절정	t͡ɕ ʌ̹ ʎ t͡ɕ͈ ʌ̹ ŋ	절쩡
절제	t͡ɕ ʌ̹ ʎ t͡ɕ͈ e̞	절쩨
절하다	t͡ɕ ʌ̹ ɾ ɦ a̠ d a̠	절하다
점령군	t͡ɕ ʌ̹ m ɲ ʌ̹ ŋ ɡ u n	점넝군
점박이물범	t͡ɕ ʌ̹ m b a̠ ɡ i m u ɭ b ʌ̹ m	점바기물범
점선	t͡ɕ ʌ̹ m sʰ ʌ̹ n	점선
점성술	t͡ɕ ʌ̹ m sʰ ʌ̹ ŋ sʰ u ɭ	점성술
점성학	t͡ɕ ʌ̹ m sʰ ʌ̹ ŋ ɦ a̠ k̚	점성학
점점점	t͡ɕ͈ ʌ̹ m t͡ɕ͈ ʌ̹ m t͡ɕ͈ ʌ̹ m	쩜쩜쩜
점프하다	t͡ɕ͈ ʌ̹ m pʰ ɯ ɦ a̠ d a̠	쩜프하다
접	t͡ɕ ʌ̹ p̚	접
접경	t͡ɕ ʌ̹ p̚ k͈ j ʌ̹ ŋ	접꼉
접다	t͡ɕ ʌ̹ p̚ t͈ a̠	접따
접두사	t͡ɕ ʌ̹ p̚ t͈ u sʰ a̠	접뚜사
접두어	t͡ɕ ʌ̹ p̚ t͈ u ʌ̹	접뚜어
접속사	t͡ɕ ʌ̹ p s͈ o̞ k s͈ a̠	접쏙싸
접수인	t͡ɕ ʌ̹ p s͈ u i n	접쑤인
접신	t͡ɕ ʌ̹ p ɕ͈ i n	접씬
접종	t͡ɕ ʌ̹ p̚ t͡ɕ͈ o̞ ŋ	접쫑
접종하다	t͡ɕ ʌ̹ p̚ t͡ɕ͈ o̞ ŋ ɦ a̠ d a̠	접쫑하다
젓	t͡ɕ ʌ̹ t̚	젇
젓가락질하다	t͡ɕ ʌ̹ t̚ k͈ a̠ ɾ a̠ k̚ t͡ɕ͈ i ɾ ɦ a̠ d a̠	젇까락찔하다
정	t͡ɕ ʌ̹ ŋ	정
정당	t͡ɕ ʌ̹ ŋ d a̠ ŋ	정당
정돈	t͡ɕ ʌ̹ ŋ d o̞ n	정돈
정력	t͡ɕ ʌ̹ ŋ ɲ ʌ̹ k̚	정넉
정례	t͡ɕ ʌ̹ ŋ ɲ e̞	정네
정변	t͡ɕ ʌ̹ ŋ b j ʌ̹ n	정변
정복하다	t͡ɕ ʌ̹ ŋ b o̞ kʰ a̠ d a̠	정보카다
정부군	t͡ɕ ʌ̹ ŋ b u ɡ u n	정부군
정상	t͡ɕ ʌ̹ ŋ sʰ a̠ ŋ	정상
정상위	t͡ɕ ʌ̹ ŋ sʰ a̠ ŋ ɥ i	정상위
정신과	t͡ɕ ʌ̹ ŋ ɕʰ i n k͈ w a̠	정신꽈
정신승리	t͡ɕ ʌ̹ ŋ ɕʰ i n sʰ ɯ ŋ n i	정신승니
정어리	t͡ɕ ʌ̹ ŋ ʌ̹ ɾ i	정어리
정역학	t͡ɕ ʌ̹ ŋ ɲ ʌ̹ kʰ a̠ k̚	정너칵
정자	t͡ɕ ʌ̹ ŋ d͡ʑ a̠	정자
정찰	t͡ɕ ʌ̹ ŋ t͡ɕʰ a̠ ɭ	정찰
정찰병	t͡ɕ ʌ̹ ŋ t͡ɕʰ a̠ ɭ b j ʌ̹ ŋ	정찰병
정찰하다	t͡ɕ ʌ̹ ŋ t͡ɕʰ a̠ ɾ ɦ a̠ d a̠	정찰하다
정체	t͡ɕ ʌ̹ ŋ t͡ɕʰ e̞	정체
정치범	t͡ɕ ʌ̹ ŋ t͡ɕʰ i b ʌ̹ m	정치범
정치질	t͡ɕ ʌ̹ ŋ t͡ɕʰ i d͡ʑ i ɭ	정치질
젖	t͡ɕ ʌ̹ t̚	젇
젖꼴만들기	t͡ɕ ʌ̹ t̚ k͈ o̞ ɭ m a̠ n d ɯ ɭ ɡ i	젇꼴만들기
제	t͡ɕ e̞	제
제갈량	t͡ɕ e̞ ɡ a̠ ʎ ʎ a̠ ŋ	제갈랑
제곱근	t͡ɕ e̞ ɡ o̞ p̚ k͈ ɯ n	제곱끈
제곱미터	t͡ɕ e̞ ɡ o̞ m m i tʰ ʌ̹	제곰미터
제구력	t͡ɕ e̞ː ɡ u ɾ j ʌ̹ k̚	제구력
제국	t͡ɕ e̞ː ɡ u k̚	제국
제논	t͡ɕ e̞ n o̞ n	제논
제니	t͡ɕ e̞ n i	제니
제도	t͡ɕ e̞ d o̞	제도
제독	t͡ɕ e̞ d o̞ k̚	제독
제동기	t͡ɕ e̞ː d o̞ ŋ ɡ i	제동기
제비꽃	t͡ɕ e̞ b i k͈ o̞ t̚	제비꼳
제시하다	t͡ɕ e̞ ɕʰ i ɦ a̠ d a̠	제시하다
제외하다	t͡ɕ e̞ w e̞ ɦ a̠ d a̠	제외하다
제원	t͡ɕ e̞ w ʌ̹ n	제원
제유법	t͡ɕ e̞ j u p͈ ʌ̹ p̚	제유뻡
제의하다	t͡ɕ e̞ ɰ i ɦ a̠ d a̠	제의하다
제인	t͡ɕ e̞ i n	제인
제정신	t͡ɕ e̞ d͡ʑ ʌ̹ ŋ ɕʰ i n	제정신
제조자	t͡ɕ e̞ː d͡ʑ o̞ d͡ʑ a̠	제조자
제조하다	t͡ɕ e̞ː d͡ʑ o̞ ɦ a̠ d a̠	제조하다
제주도롱뇽	t͡ɕ e̞ː d͡ʑ u d o̞ ɾ o̞ ŋ ɲ o ŋ	제주도롱뇽
제주모치망둑	t͡ɕ e̞ː d͡ʑ u m o̞ t͡ɕʰ i m a̠ ŋ d u k̚	제주모치망둑
제주특별자치도	t͡ɕ e̞ː d͡ʑ u tʰ ɯ k̚ p͈ j ʌ̹ ʎ d͡ʑ a̠ t͡ɕʰ i d o̞	제주특뼐자치도
제휴	t͡ɕ e̞ ʝ u	제후
제힘움직씨	t͡ɕ e̞ ʝ i m u m d͡ʑ i k ɕ͈ i	제히뭄직씨
젤	t͡ɕ e̞ ɭ	젤
조	t͡ɕ o̞	조
조각가	t͡ɕ o̞ ɡ a̠ k̚ k͈ a̠	조각까
조공	t͡ɕ o̞ ɡ o̞ ŋ	조공
조교	t͡ɕ o̞ ɡ j o	조교
조그맣다	t͡ɕ o̞ ɡ ɯ m a̠ tʰ a̠	조그마타
조동사	t͡ɕ o̞ d o̞ ŋ sʰ a̠	조동사
조로아스터	t͡ɕ o̞ ɾ o̞ a̠ sʰ ɯ tʰ ʌ̹	조로아스터
조루	t͡ɕ o̞ː ɾ u	조루
조르다	t͡ɕ o̞ ɾ ɯ d a̠	조르다
조리	t͡ɕ o̞ ɾ i	조리
조리다	t͡ɕ o̞ ɾ i d a̠	조리다
조리하다	t͡ɕ o̞ ɾ i ɦ a̠ d a̠	조리하다
조립하다	t͡ɕ o̞ ɾ i pʰ a̠ d a̠	조리파다
조마조마하다	t͡ɕ o̞ m a̠ d͡ʑ o̞ m a̠ ɦ a̠ d a̠	조마조마하다
조물주	t͡ɕ o̞ː m u ʎ t͡ɕ͈ u	조물쭈
조뼛조뼛	t͡ɕ o̞ p͈ j ʌ̹ t̚ t͡ɕ͈ o̞ p͈ j ʌ̹ t̚	조뼏쪼뼏
조사관	t͡ɕ o̞ sʰ a̠ ɡ w a̠ n	조사관
조선	t͡ɕ o̞ sʰ ʌ̹ n	조선
조선글	t͡ɕ o̞ sʰ ʌ̹ n ɡ ɯ ɭ	조선글
조선봉건왕조	t͡ɕ o̞ sʰ ʌ̹ n b o̞ ŋ ɡ ʌ̹ n w a̠ ŋ d͡ʑ o̞	조선봉거놩조
조선옷	t͡ɕ o̞ sʰ ʌ̹ n o̞ t̚	조서녿
조선족	t͡ɕ o̞ sʰ ʌ̹ ɲ d͡ʑ o̞ k̚	조선족
조심하다	t͡ɕ o̞ː ɕʰ i m ɦ a̠ d a̠	조심하다
조언하다	t͡ɕ o̞ː ʌ̹ n ɦ a̠ d a̠	조언하다
조율	t͡ɕ o̞ j u ɭ	조율
조지	t͡ɕ o̞ d͡ʑ i	조지
조촐하다	t͡ɕ o̞ t͡ɕʰ o̞ ɾ ɦ a̠ d a̠	조촐하다
조한	t͡ɕ o̞ ɦ a̠ n	조한
조합형	t͡ɕ o̞ ɦ a̠ pʰ j ʌ̹ ŋ	조하평
조혈	t͡ɕ o̞ ʝ ʌ̹ ɭ	조헐
조화롭다	t͡ɕ o̞ β w a̠ ɾ o̞ p̚ t͈ a̠	조화롭따
조회수	t͡ɕ o̞ː β w e̞ s͈ u	조회쑤
족	t͡ɕ o̞ k̚	족
족집게	t͡ɕ o̞ k̚ t͡ɕ͈ i p̚ k͈ e̞	족찝께
존	t͡ɕ o̞ n	존
존경하다	t͡ɕ o̞ n ɡ j ʌ̹ ŋ ɦ a̠ d a̠	존경하다
존버	t͡ɕ o̞ n b ʌ̹	존버
존예	t͡ɕ o̞ ɲ e̞	조네
존잘남	t͡ɕ o̞ ɲ d͡ʑ a̠ ɭ ɭ a̠ m	존잘람
존호	t͡ɕ o̞ n β o̞	존호
졸	t͡ɕ o̞ ɭ	졸
졸도	t͡ɕ o̞ ɭ d o̞	졸도
졸리다	t͡ɕ o̞ ʎ ʎ i d a̠	졸리다
졸망	t͡ɕ o̞ ɭ m a̠ ŋ	졸망
졸인젖	t͡ɕ o̞ ɾ i ɲ d͡ʑ ʌ̹ t̚	조린젇
졸작	t͡ɕ o̞ ʎ t͡ɕ͈ a̠ k̚	졸짝
졸참나무	t͡ɕ o̞ ʎ t͡ɕʰ a̠ m n a̠ m u	졸참나무
좀	t͡ɕ o̞ m	좀
좀구굴치	t͡ɕ o̞ m ɡ u ɡ u ʎ t͡ɕʰ i	좀구굴치
종	t͡ɕ o̞ ŋ	종
종가시나무	t͡ɕ o̞ ŋ ɡ a̠ ɕʰ i n a̠ m u	종가시나무
종결	t͡ɕ o̞ ŋ ɡ j ʌ̹ ɭ	종결
종국	t͡ɕ o̞ ŋ ɡ u k̚	종국
종다리	t͡ɕ o̞ ŋ d a̠ ɾ i	종다리
종렬	t͡ɕ o̞ ŋ ɲ ʌ̹ ɭ	종널
종료하다	t͡ɕ o̞ ŋ ɲ o ɦ a̠ d a̠	종뇨하다
종성	t͡ɕ o̞ ŋ sʰ ʌ̹ ŋ	종성
종어	t͡ɕ o̞ ŋ ʌ̹	종어
종적	t͡ɕ o̞ ŋ d͡ʑ ʌ̹ k̚	종적
종지부	t͡ɕ o̞ ŋ d͡ʑ i b u	종지부
종횡가	t͡ɕ o̞ ŋ β w e̞ ŋ ɡ a̠	종횡가
좆	t͡ɕ o̞ t̚	졷
좆같다	t͡ɕ o̞ t̚ k͈ a̠ t̚ t͈ a̠	졷깓따
좆나	t͡ɕ o̞ n n a̠	존나
좆되다	t͡ɕ o̞ t̚ t͈ w e̞ d a̠	졷뙤다
좆목	t͡ɕ o̞ n m o̞ k̚	존목
좆문가	t͡ɕ o̞ n m u n ɡ a̠	존문가
좆물	t͡ɕ o̞ n m u ɭ	존물
좆밥	t͡ɕ o̞ t̚ p͈ a̠ p̚	졷빱
좋이	t͡ɕ o̞ i	조이
좌빨	t͡ɕ w a̠ː p͈ a̠ ɭ	좌빨
좌식	t͡ɕ w a̠ː ɕʰ i k̚	좌식
좌안	t͡ɕ w a̠ a̠ n	좌안
좌우명	t͡ɕ w a̠ː u m j ʌ̹ ŋ	좌우명
좌좀	t͡ɕ w a̠ː d͡ʑ o̞ m	좌좀
좌지우지	t͡ɕ w a̠ d͡ʑ i u d͡ʑ i	좌지우지
좌파	t͡ɕ w a̠ː pʰ a̠	좌파
좽이	t͡ɕ w ɛː ŋ i	좽이
죄	t͡ɕ w e̞ː	죄
죄수복	t͡ɕ w e̞ː sʰ u b o̞ k̚	죄수복
죙이	t͡ɕ w e̞ ŋ i	죙이
죠지아	t͡ɕ o̞ d͡ʑ i a̠	조지아
주	t͡ɕ u	주
주가	t͡ɕ u k͈ a̠	주까
주걱뿔사슴	t͡ɕ u ɡ ʌ̹ k̚ p͈ u ɭ sʰ a̠ sʰ ɯ m	주걱뿔사슴
주검	t͡ɕ u ɡ ʌ̹ m	주검
주격	t͡ɕ u k͈ j ʌ̹ k̚	주껵
주구	t͡ɕ u ɡ u	주구
주기	t͡ɕ u ɡ i	주기
주기율표	t͡ɕ u ɡ i j u ɭ pʰ j o	주기율표
주년	t͡ɕ u ɲ ʌ̹ n	주넌
주노	t͡ɕ u n o̞	주노
주두	t͡ɕ u d u	주두
주둥이	t͡ɕ u d u ŋ i	주둥이
주둥치	t͡ɕ u d u ŋ t͡ɕʰ i	주둥치
주라	t͡ɕ u ɾ a̠	주라
주리다	t͡ɕ uː ɾ i d a̠	주리다
주먹밥	t͡ɕ u m ʌ̹ k̚ p͈ a̠ p̚	주먹빱
주목하다	t͡ɕ u m o̞ kʰ a̠ d a̠	주모카다
주문하다	t͡ɕ uː m u n ɦ a̠ d a̠	주문하다
주바	t͡ɕ u b a̠	주바
주발	t͡ɕ u b a̠ ɭ	주발
주비	t͡ɕ u b i	주비
주뼛	t͡ɕ u p͈ j ʌ̹ t̚	주뼏
주뼛주뼛	t͡ɕ u p͈ j ʌ̹ t̚ t͡ɕ͈ u p͈ j ʌ̹ t̚	주뼏쭈뼏
주시	t͡ɕ uː ɕʰ i	주시
주어지다	t͡ɕ u ʌ̹ d͡ʑ i d a̠	주어지다
주억	t͡ɕ u ʌ̹ k̚	주억
주의	t͡ɕ u ɰ i	주의
주의하다	t͡ɕ u ɰ i ɦ a̠ d a̠	주의하다
주일	t͡ɕ u i ɭ	주일
주작	t͡ɕ u d͡ʑ a̠ k̚	주작
주저앉다	t͡ɕ u d͡ʑ ʌ̹ a̠ n t͈ a̠	주저안따
주정꾼	t͡ɕ uː d͡ʑ ʌ̹ ŋ k͈ u n	주정꾼
주제가	t͡ɕ u d͡ʑ e̞ ɡ a̠	주제가
주제곡	t͡ɕ u d͡ʑ e̞ ɡ o̞ k̚	주제곡
주차하다	t͡ɕ uː t͡ɕʰ a̠ ɦ a̠ d a̠	주차하다
주체스럽다	t͡ɕ u t͡ɕʰ e̞ sʰ ɯ ɾ ʌ̹ p̚ t͈ a̠	주체스럽따
주판	t͡ɕ uː pʰ a̠ n	주판
죽	t͡ɕ u k̚	죽
죽이다	t͡ɕ u ɡ i d a̠	주기다
준주	t͡ɕ uː ɲ d͡ʑ u	준주
줄	t͡ɕ u ɭ	줄
줄납자루	t͡ɕ u ɭ ɭ a̠ p̚ t͡ɕ͈ a̠ ɾ u	줄랍짜루
줄망둑	t͡ɕ u ɭ m a̠ ŋ d u k̚	줄망둑
줄임말	t͡ɕ u ɾ i m m a̠ ɭ	주림말
줄풀	t͡ɕ u ɭ pʰ u ɭ	줄풀
중	t͡ɕ u ŋ	중
중공업	t͡ɕ uː ŋ ɡ o̞ ŋ ʌ̹ p̚	중공업
중국말	t͡ɕ u ŋ ɡ u ŋ m a̠ ɭ	중궁말
중뇌	t͡ɕ u ŋ n w e̞	중뇌
중도주의	t͡ɕ u ŋ d o̞ d͡ʑ u ɰ i	중도주의
중령	t͡ɕ u ŋ ɲ ʌ̹ ŋ	중넝
중미주	t͡ɕ u ŋ m i d͡ʑ u	중미주
중복되다	t͡ɕ uː ŋ b o̞ k̚ t͈ w e̞ d a̠	중복뙤다
중세국어	t͡ɕ u ŋ sʰ e̞ ɡ u ɡ ʌ̹	중세구거
중식	t͡ɕ u ŋ ɕʰ i k̚	중식
중심지	t͡ɕ u ŋ ɕʰ i m d͡ʑ i	중심지
중얼거리다	t͡ɕ u ŋ ʌ̹ ɭ ɡ ʌ̹ ɾ i d a̠	중얼거리다
중얼중얼	t͡ɕ u ŋ ʌ̹ ʎ d͡ʑ u ŋ ʌ̹ ɭ	중얼중얼
중요시	t͡ɕ uː ŋ j o ɕʰ i	중요시
중요시되다	t͡ɕ uː ŋ j o ɕʰ i d w e̞ d a̠	중요시되다
중용	t͡ɕ u ŋ j o ŋ	중용
중자	t͡ɕ u ŋ d͡ʑ a̠	중자
중장	t͡ɕ u ŋ d͡ʑ a̠ ŋ	중장
중천	t͡ɕ u ŋ t͡ɕʰ ʌ̹ n	중천
중추절	t͡ɕ u ŋ t͡ɕʰ u d͡ʑ ʌ̹ ɭ	중추절
중하다	t͡ɕ uː ŋ ɦ a̠ d a̠	중하다
줘	t͡ɕ w ʌ̹	줘
줴치다	t͡ɕ w e̞ː t͡ɕʰ i d a̠	줴치다
쥐	t͡ɕ ɥ i	쥐
쥐다	t͡ɕ ɥ iː d a̠	쥐다
쥐며느리	t͡ɕ ɥ i m j ʌ̹ n ɯ ɾ i	쥐며느리
쥑이다	t͡ɕ ɥ i ɡ i d a̠	쥐기다
쥬스	t͡ɕ u sʰ ɯ	주스
즉	t͡ɕ ɯ k̚	즉
즉각	t͡ɕ ɯ k̚ k͈ a̠ k̚	즉깍
즉결	t͡ɕ ɯ k̚ k͈ j ʌ̹ ɭ	즉껼
즉답	t͡ɕ ɯ k̚ t͈ a̠ p̚	즉땁
즉사	t͡ɕ ɯ k s͈ a̠	즉싸
즉석	t͡ɕ ɯ k s͈ ʌ̹ k̚	즉썩
즉위	t͡ɕ ɯ ɡ ɥ i	즈귀
즉일	t͡ɕ ɯ ɡ i ɭ	즈길
즉흥	t͡ɕ ɯ k x ɯ ŋ	즈킁
즐	t͡ɕ ɯ ɭ	즐
즐비	t͡ɕ ɯ ɭ b i	즐비
즐비하다	t͡ɕ ɯ ɭ b i ɦ a̠ d a̠	즐비하다
즘게	t͡ɕ ɯ m ɡ e̞	즘게
즙	t͡ɕ ɯ p̚	즙
증	t͡ɕ ɯ ŋ	증
증가되다	t͡ɕ ɯ ŋ ɡ a̠ d w e̞ d a̠	증가되다
증기선	t͡ɕ ɯ ŋ ɡ i sʰ ʌ̹ n	증기선
증류수	t͡ɕ ɯ ŋ ɲ u sʰ u	증누수
증류하다	t͡ɕ ɯ ŋ ɲ u ɦ a̠ d a̠	증누하다
증발	t͡ɕ ɯ ŋ b a̠ ɭ	증발
증조부모	t͡ɕ ɯ ŋ d͡ʑ o̞ b u m o̞	증조부모
지	t͡ɕ i	지
지각자	t͡ɕ i ɡ a̠ k̚ t͡ɕ͈ a̠	지각짜
지각하다	t͡ɕ i ɡ a̠ kʰ a̠ d a̠	지가카다
지게	t͡ɕ i ɡ e̞	지게
지게차	t͡ɕ i ɡ e̞ t͡ɕʰ a̠	지게차
지골리다	t͡ɕ i ɡ o̞ ʎ ʎ i d a̠	지골리다
지과	t͡ɕ i ɡ w a̠	지과
지권	t͡ɕ i k͈ w ʌ̹ n	지꿘
지급시	t͡ɕ i ɡ ɯ p ɕ͈ i	지급씨
지끔	t͡ɕ i k͈ ɯ m	지끔
지낙	t͡ɕ i n a̠ k̚	지낙
지난밤	t͡ɕ i n a̠ n b a̠ m	지난밤
지남석	t͡ɕ i n a̠ m sʰ ʌ̹ k̚	지남석
지네	t͡ɕ i n e̞	지네
지도력	t͡ɕ i d o̞ ɾ j ʌ̹ k̚	지도력
지동설	t͡ɕ i d o̞ ŋ sʰ ʌ̹ ɭ	지동설
지렁	t͡ɕ i ɾ ʌ̹ ŋ	지렁
지루다	t͡ɕ i ɾ u d a̠	지루다
지르다	t͡ɕ i ɾ ɯ d a̠	지르다
지리	t͡ɕ i ɾ i	지리
