ᆯ지	ʎ t͡ɕ͈ i	ㄹ찌
정유	t͡ɕ ʌ̹ ŋ j u	저유
정육점	t͡ɕ ʌ̹ ŋ j u k̚ t͡ɕ͈ ʌ̹ m	저육쩜
정은	t͡ɕ ɘː ŋ ɯ n	저은
정음	t͡ɕ ʌ̹ ŋ ɯ m	저음
정장	t͡ɕ ɘː ŋ d͡ʑ a̠ ŋ	정장
정적분	t͡ɕ ʌ̹ ŋ d͡ʑ ʌ̹ k̚ p͈ u n	정적뿐
정전	t͡ɕ ʌ̹ ŋ d͡ʑ ʌ̹ n	정전
정제	t͡ɕ ʌ̹ ŋ d͡ʑ e̞	정제
정조	t͡ɕ ʌ̹ ŋ d͡ʑ o̞	정조
정주	t͡ɕ ɘː ŋ d͡ʑ u	정주
정지	t͡ɕ ʌ̹ ŋ d͡ʑ i	정지
정직	t͡ɕ ɘː ŋ d͡ʑ i k̚	정직
정직하다	t͡ɕ ɘː ŋ d͡ʑ i kʰ a̠ d a̠	정지카다
정치가	t͡ɕ ʌ̹ ŋ t͡ɕʰ i ɡ a̠	정치가
정치권	t͡ɕ ʌ̹ ŋ t͡ɕʰ i k͈ w ʌ̹ n	정치꿘
정치인	t͡ɕ ʌ̹ ŋ t͡ɕʰ i i n	정치인
정치판	t͡ɕ ʌ̹ ŋ t͡ɕʰ i pʰ a̠ n	정치판
정치학	t͡ɕ ʌ̹ ŋ t͡ɕʰ i ɦ a̠ k̚	정치학
정치학자	t͡ɕ ʌ̹ ŋ t͡ɕʰ i ɦ a̠ k̚ t͡ɕ͈ a̠	정치학짜
정크푸드	t͡ɕ ʌ̹ ŋ k x ɯ pʰ u d ɯ	정ㄱ흐푸드
정확하다	t͡ɕ ɘː ŋ β w a̠ kʰ a̠ d a̠	정화카다
정황	t͡ɕ ʌ̹ ŋ β w a̠ ŋ	정황
젖가공품	t͡ɕ ʌ̹ t̚ k͈ a̠ ɡ o̞ ŋ pʰ u m	젇까공품
젖꼭지	t͡ɕ ʌ̹ t̚ k͈ o̞ k̚ t͡ɕ͈ i	젇꼭찌
젖다	t͡ɕ ʌ̹ t̚ t͈ a̠	젇따
젖당못견딤증	t͡ɕ ʌ̹ t̚ t͈ a̠ ŋ m o̞ t̚ k͈ j ʌ̹ n d i m d͡ʑ ɯ ŋ	젇땅몯껸딤증
젖먹이	t͡ɕ ʌ̹ n m ʌ̹ ɡ i	전머기
젖통	t͡ɕ ʌ̹ t̚ tʰ o̞ ŋ	젇통
제거	t͡ɕ e̞ ɡ ʌ̹	제거
제거하다	t͡ɕ e̞ ɡ ʌ̹ ɦ a̠ d a̠	제거하다
제공	t͡ɕ e̞ ɡ o̞ ŋ	제공
제공하다	t͡ɕ e̞ ɡ o̞ ŋ ɦ a̠ d a̠	제공하다
제과점	t͡ɕ e̞ː ɡ w a̠ d͡ʑ ʌ̹ m	제과점
제국주의	t͡ɕ e̞ː ɡ u k̚ t͡ɕ͈ u ɰ i	제국쭈의
제기랄	t͡ɕ e̞ː ɡ i ɾ a̠ ɭ	제기랄
제기차기	t͡ɕ e̞ ɡ i t͡ɕʰ a̠ ɡ i	제기차기
제노바	t͡ɕ e̞ n o̞ b a̠	제노바
제단	t͡ɕ e̞ː d a̠ n	제단
제로	t͡ɕ e̞ ɾ o̞	제로
제명	t͡ɕ e̞ m j ʌ̹ ŋ	제명
제물	t͡ɕ e̞ m u ɭ	제물
제발	t͡ɕ e̞ː b a̠ ɭ	제발
제법	t͡ɕ e̞ b ʌ̹ p̚	제법
제복	t͡ɕ e̞ː b o̞ k̚	제복
제비	t͡ɕ e̞ː b i	제비
제사	t͡ɕ e̞ː sʰ a̠	제사
제설차	t͡ɕ e̞ sʰ ʌ̹ ʎ t͡ɕʰ a̠	제설차
제스처	t͡ɕ e̞ sʰ ɯ t͡ɕʰ ʌ̹	제스처
제시	t͡ɕ e̞ ɕʰ i	제시
제안	t͡ɕ e̞ a̠ n	제안
제안하다	t͡ɕ e̞ a̠ n ɦ a̠ d a̠	제안하다
제약	t͡ɕ e̞ː j a̠ k̚	제약
제왕	t͡ɕ e̞ː w a̠ ŋ	제왕
제우스	t͡ɕ e̞ u sʰ ɯ	제우스
제유	t͡ɕ e̞ j u	제유
제육	t͡ɕ e̞ j u k̚	제육
제의	t͡ɕ e̞ ɰ i	제의
제일	t͡ɕ e̞ː i ɭ	제일
제작	t͡ɕ e̞ː d͡ʑ a̠ k̚	제작
제작자	t͡ɕ e̞ː d͡ʑ a̠ k̚ t͡ɕ͈ a̠	제작짜
제작하다	t͡ɕ e̞ː d͡ʑ a̠ kʰ a̠ d a̠	제자카다
제조	t͡ɕ e̞ː d͡ʑ o̞	제조
제조업	t͡ɕ e̞ː d͡ʑ o̞ ʌ̹ p̚	제조업
제주	t͡ɕ e̞ː d͡ʑ u	제주
제주도	t͡ɕ e̞ː d͡ʑ u d o̞	제주도
제주말	t͡ɕ e̞ː d͡ʑ u m a̠ ɭ	제주말
제주시	t͡ɕ e̞ː d͡ʑ u ɕʰ i	제주시
제쳐놓다	t͡ɕ e̞ t͡ɕʰ ʌ̹ n o̞ tʰ a̠	제처노타
제출	t͡ɕ e̞ t͡ɕʰ u ɭ	제출
제출하다	t͡ɕ e̞ t͡ɕʰ u ɾ ɦ a̠ d a̠	제출하다
제탄	t͡ɕ e̞ː tʰ a̠ n	제탄
제트기	t͡ɕ e̞ tʰ ɯ ɡ i	제트기
제품	t͡ɕ e̞ː pʰ u m	제품
제한	t͡ɕ e̞ː ɦ a̠ n	제한
젠장	t͡ɕ e̞ː ɲ d͡ʑ a̠ ŋ	젠장
젤리	t͡ɕ e̞ ʎ ʎ i	젤리
조가비	t͡ɕ o̞ ɡ a̠ b i	조가비
조각	t͡ɕ o̞ ɡ a̠ k̚	조각
조각상	t͡ɕ o̞ ɡ a̠ k s͈ a̠ ŋ	조각쌍
조건	t͡ɕ o̞ k͈ ʌ̹ n	조껀
조계종	t͡ɕ o̞ ɡ j e̞ d͡ʑ o̞ ŋ	조계종
조국	t͡ɕ o̞ ɡ u k̚	조국
조금	t͡ɕ o̞ ɡ ɯ m	조금
조금씩	t͡ɕ o̞ ɡ ɯ m ɕ͈ i k̚	조금씩
조깅	t͡ɕ o̞ ɡ i ŋ	조깅
조끼	t͡ɕ o̞ k͈ i	조끼
조랑말	t͡ɕ o̞ ɾ a̠ ŋ m a̠ ɭ	조랑말
조롱	t͡ɕ o̞ ɾ o̞ ŋ	조롱
조롱이	t͡ɕ o̞ ɾ o̞ ŋ i	조로이
조류	t͡ɕ o̞ ɾ j u	조류
조림	t͡ɕ o̞ ɾ i m	조림
조미료	t͡ɕ o̞ m i ɾ j o	조미료
조반	t͡ɕ o̞ː b a̠ n	조반
조부모	t͡ɕ o̞ b u m o̞	조부모
조뼛	t͡ɕ o̞ p͈ j ʌ̹ t̚	조뼏
조사	t͡ɕ o̞ sʰ a̠	조사
조사하다	t͡ɕ o̞ sʰ a̠ ɦ a̠ d a̠	조사하다
조산부	t͡ɕ o̞ː sʰ a̠ n b u	조산부
조상	t͡ɕ o̞ sʰ a̠ ŋ	조상
조선말	t͡ɕ o̞ sʰ ʌ̹ n m a̠ ɭ	조선말
조선민주주의인민공화국	t͡ɕ o̞ sʰ ʌ̹ n m i ɲ d͡ʑ u d͡ʑ u ɰ i i n m i n k o̞ ŋ β w a̠ ɡ u k̚	조선민주주의인민공화국
조선어	t͡ɕ o̞ sʰ ʌ̹ n ʌ̹	조서너
조선인	t͡ɕ o̞ sʰ ʌ̹ n i n	조서닌
조성	t͡ɕ o̞ sʰ ʌ̹ ŋ	조성
조세	t͡ɕ o̞ sʰ e̞	조세
조수	t͡ɕ o̞ː sʰ u	조수
조식	t͡ɕ o̞ ɕʰ i k̚	조식
조심	t͡ɕ o̞ː ɕʰ i m	조심
조어	t͡ɕ o̞ ʌ̹	조어
조예	t͡ɕ o̞ j e̞	조예
조용	t͡ɕ o̞ j o ŋ	조용
조용하다	t͡ɕ o̞ j o ŋ ɦ a̠ d a̠	조용하다
조용히	t͡ɕ o̞ j o ŋ ʝ i	조용히
조우	t͡ɕ o̞ u	조우
조의	t͡ɕ o̞ ɰ i	조의
조이다	t͡ɕ o̞ i d a̠	조이다
조작	t͡ɕ o̞ː d͡ʑ a̠ k̚	조작
조절	t͡ɕ o̞ d͡ʑ ʌ̹ ɭ	조절
조종사	t͡ɕ o̞ d͡ʑ o̞ ŋ sʰ a̠	조종사
조지아	t͡ɕ o̞ d͡ʑ i a̠	조지아
조지아어	t͡ɕ o̞ d͡ʑ i a̠ ʌ̹	조지아어
조지타운	t͡ɕ o̞ d͡ʑ i tʰ a̠ u n	조지타운
조직	t͡ɕ o̞ d͡ʑ i k̚	조직
조짐	t͡ɕ o̞ d͡ʑ i m	조짐
조차	t͡ɕ o̞ t͡ɕʰ a̠	조차
조치	t͡ɕ o̞ t͡ɕʰ i	조치
조카	t͡ɕ o̞ kʰ a̠	조카
조피볼락	t͡ɕ o̞ pʰ i b o̞ ɭ ɭ a̠ k̚	조피볼락
조합	t͡ɕ o̞ ɦ a̠ p̚	조합
조현병	t͡ɕ o̞ ʝ j ʌ̹ n b j ʌ̹ ŋ	조현병
조회	t͡ɕ o̞ː β w e̞	조회
존경	t͡ɕ o̞ n ɡ j ʌ̹ ŋ	존경
존맛	t͡ɕ o̞ n m a̠ t̚	존맏
존엄사	t͡ɕ o̞ n ʌ̹ m sʰ a̠	조넘사
존중	t͡ɕ o̞ ɲ d͡ʑ u ŋ	존중
존중하다	t͡ɕ o̞ ɲ d͡ʑ u ŋ ɦ a̠ d a̠	존중하다
졸다	t͡ɕ o̞ː ɭ d a̠	졸다
졸업식	t͡ɕ o̞ ɾ ʌ̹ p ɕ͈ i k̚	조럽씩
졸음	t͡ɕ o̞ ɾ ɯ m	조름
졸혼	t͡ɕ o̞ ɾ β o̞ n	졸혼
좀비	t͡ɕ o̞ m b i	좀비
좀수수치	t͡ɕ o̞ m sʰ u sʰ u t͡ɕʰ i	좀수수치
좀처럼	t͡ɕ o̞ː m t͡ɕʰ ʌ̹ ɾ ʌ̹ m	좀처럼
좁다	t͡ɕ o̞ p̚ t͈ a̠	좁따
종교	t͡ɕ o̞ ŋ ɡ j o	종교
종로	t͡ɕ o̞ ŋ n o̞	종노
종료	t͡ɕ o̞ ŋ ɲ j o	종뇨
종류	t͡ɕ o̞ː ŋ ɲ j u	종뉴
종식	t͡ɕ o̞ ŋ ɕʰ i k̚	종식
종아리뼈	t͡ɕ o̞ː ŋ a̠ ɾ i p͈ j ʌ̹	조아리뼈
종양	t͡ɕ o̞ː ŋ j a̠ ŋ	조양
종업원	t͡ɕ o̞ ŋ ʌ̹ b w ʌ̹ n	조어붠
종유석	t͡ɕ o̞ ŋ j u sʰ ʌ̹ k̚	조유석
종이	t͡ɕ o̞ ŋ i	조이
종일	t͡ɕ o̞ ŋ i ɭ	조일
종자	t͡ɕ o̞ ŋ d͡ʑ a̠	종자
종족	t͡ɕ o̞ ŋ d͡ʑ o̞ k̚	종족
종종	t͡ɕ o̞ː ŋ d͡ʑ o̞ ŋ	종종
종파	t͡ɕ o̞ ŋ pʰ a̠	종파
종합	t͡ɕ o̞ ŋ ɦ a̠ p̚	종합
종횡	t͡ɕ o̞ ŋ β w e̞ ŋ	종횡
좇다	t͡ɕ o̞ t̚ t͈ a̠	졷따
좋다	t͡ɕ o̞ː tʰ a̠	조타
좋아지다	t͡ɕ o̞ː a̠ d͡ʑ i d a̠	조아지다
좋아하다	t͡ɕ o̞ː a̠ ɦ a̠ d a̠	조아하다
좌석	t͡ɕ w a̠ sʰ ʌ̹ k̚	좌석
좌우	t͡ɕ w a̠ː u	좌우
좌익수	t͡ɕ w a̠ː i k s͈ u	좌익쑤
좌표	t͡ɕ w a̠ː pʰ j o	좌표
죄다	t͡ɕ w e̞ː d a̠	죄다
죄송	t͡ɕ w e̞ː sʰ o̞ ŋ	죄송
죄송하다	t͡ɕ w e̞ː sʰ o̞ ŋ ɦ a̠ d a̠	죄송하다
죄수	t͡ɕ w e̞ sʰ u	죄수
죄악	t͡ɕ w e̞ː a̠ k̚	죄악
죄인	t͡ɕ w e̞ː i n	죄인
주거	t͡ɕ uː ɡ ʌ̹	주거
주고받다	t͡ɕ u ɡ o̞ b a̠ t̚ t͈ a̠	주고받따
주교	t͡ɕ u ɡ j o	주교
주교관	t͡ɕ u ɡ j o ɡ w a̠ n	주교관
주꾸미	t͡ɕ u k͈ u m i	주꾸미
주다	t͡ɕ u d a̠	주다
주도	t͡ɕ u d o̞	주도
주둔	t͡ɕ uː d u n	주둔
주로	t͡ɕ u ɾ o̞	주로
주류	t͡ɕ u ɾ j u	주류
주막	t͡ɕ u m a̠ k̚	주막
주말	t͡ɕ u m a̠ ɭ	주말
주머니	t͡ɕ u m ʌ̹ n i	주머니
주먹	t͡ɕ u m ʌ̹ k̚	주먹
주무르다	t͡ɕ u m u ɾ ɯ d a̠	주무르다
주무시다	t͡ɕ u m u ɕʰ i d a̠	주무시다
주문	t͡ɕ uː m u n	주문
주민	t͡ɕ uː m i n	주민
주방	t͡ɕ u b a̠ ŋ	주방
주방장	t͡ɕ u b a̠ ŋ d͡ʑ a̠ ŋ	주방장
주사	t͡ɕ uː sʰ a̠	주사
주사기	t͡ɕ uː sʰ a̠ ɡ i	주사기
주석	t͡ɕ u sʰ ʌ̹ k̚	주석
주소	t͡ɕ uː sʰ o̞	주소
주스	t͡ɕ u sʰ ɯ	주스
주식	t͡ɕ u ɕʰ i k̚	주식
주식회사	t͡ɕ u ɕʰ i kʰ w e̞ sʰ a̠	주시쾨사
주어	t͡ɕ u ʌ̹	주어
주연	t͡ɕ u j ʌ̹ n	주연
주요하다	t͡ɕ u j o ɦ a̠ d a̠	주요하다
주위	t͡ɕ u ɥ i	주위
주유소	t͡ɕ uː j u sʰ o̞	주유소
주인	t͡ɕ u i n	주인
주인공	t͡ɕ u i n ɡ o̞ ŋ	주인공
주장	t͡ɕ u d͡ʑ a̠ ŋ	주장
주장하다	t͡ɕ u d͡ʑ a̠ ŋ ɦ a̠ d a̠	주장하다
주저	t͡ɕ u d͡ʑ ʌ̹	주저
주전자	t͡ɕ u d͡ʑ ʌ̹ ɲ d͡ʑ a̠	주전자
주정	t͡ɕ uː d͡ʑ ʌ̹ ŋ	주정
주제	t͡ɕ u d͡ʑ e̞	주제
주중	t͡ɕ u d͡ʑ u ŋ	주중
주차	t͡ɕ uː t͡ɕʰ a̠	주차
주차장	t͡ɕ uː t͡ɕʰ a̠ d͡ʑ a̠ ŋ	주차장
주체	t͡ɕ u t͡ɕʰ e̞	주체
주체사상	t͡ɕ u t͡ɕʰ e̞ sʰ a̠ sʰ a̠ ŋ	주체사상
죽마고우	t͡ɕ u ŋ m a̠ ɡ o̞ u	중마고우
죽부인	t͡ɕ u k̚ p͈ u i n	죽뿌인
죽순	t͡ɕ u k s͈ u n	죽쑨
죽음	t͡ɕ u ɡ ɯ m	주금
죽지	t͡ɕ u k̚ t͡ɕ͈ i	죽찌
준말	t͡ɕ uː n m a̠ ɭ	준말
준비	t͡ɕ uː n b i	준비
준비하다	t͡ɕ uː n b i ɦ a̠ d a̠	준비하다
줄곧	t͡ɕ u ɭ ɡ o̞ t̚	줄곧
줄공치	t͡ɕ u ɭ ɡ o̞ ŋ t͡ɕʰ i	줄공치
줄기	t͡ɕ u ɭ ɡ i	줄기
줄다	t͡ɕ uː ɭ d a̠	줄다
줄어들다	t͡ɕ u ɾ ʌ̹ d ɯ ɭ d a̠	주러들다
줄이다	t͡ɕ u ɾ i d a̠	주리다
줍다	t͡ɕ uː p̚ t͈ a̠	줍따
중간	t͡ɕ u ŋ ɡ a̠ n	중간
중견수	t͡ɕ u ŋ ɡ j ʌ̹ n sʰ u	중견수
중경	t͡ɕ u ŋ ɡ j ʌ̹ ŋ	중경
중계	t͡ɕ u ŋ ɡ j e̞	중계
중고기	t͡ɕ uː ŋ ɡ o̞ ɡ i	중고기
중공	t͡ɕ u ŋ ɡ o̞ ŋ	중공
중국어	t͡ɕ u ŋ ɡ u ɡ ʌ̹	중구거
중국인	t͡ɕ u ŋ ɡ u ɡ i n	중구긴
중국학	t͡ɕ u ŋ ɡ u kʰ a̠ k̚	중구칵
중국화	t͡ɕ u ŋ ɡ u kʰ w a̠	중구콰
중년	t͡ɕ u ŋ ɲ j ʌ̹ n	중년
중도	t͡ɕ u ŋ d o̞	중도
중독	t͡ɕ u ŋ d o̞ k̚	중독
중량	t͡ɕ uː ŋ ɲ j a̠ ŋ	중냥
중립	t͡ɕ u ŋ n i p̚	중닙
중문	t͡ɕ u ŋ m u n	중문
중부	t͡ɕ u ŋ b u	중부
중사	t͡ɕ u ŋ sʰ a̠	중사
중성	t͡ɕ u ŋ sʰ ʌ̹ ŋ	중성
중성자	t͡ɕ u ŋ sʰ ʌ̹ ŋ d͡ʑ a̠	중성자
중세	t͡ɕ u ŋ sʰ e̞	중세
중심	t͡ɕ u ŋ ɕʰ i m	중심
중앙	t͡ɕ u ŋ a̠ ŋ	주앙
중앙아메리카	t͡ɕ u ŋ a̠ ŋ a̠ m e̞ ɾ i kʰ a̠	주아아메리카
중요	t͡ɕ uː ŋ j o	주요
중요성	t͡ɕ uː ŋ j o s͈ ʌ̹ ŋ	주요썽
중요하다	t͡ɕ uː ŋ j o ɦ a̠ d a̠	주요하다
중위	t͡ɕ u ŋ ɥ i	주위
중죄	t͡ɕ uː ŋ d͡ʑ w e̞	중죄
중증	t͡ɕ uː ŋ t͡ɕ͈ ɯ ŋ	중쯩
중지	t͡ɕ u ŋ d͡ʑ i	중지
중징계	t͡ɕ uː ŋ d͡ʑ i ŋ ɡ j e̞	중징계
중학교	t͡ɕ u ŋ ɦ a̠ k̚ k͈ j o	중학꾜
중화	t͡ɕ u ŋ β w a̠	중화
중화민국	t͡ɕ u ŋ β w a̠ m i n ɡ u k̚	중화민국
쥐창시	t͡ɕ ɥ i t͡ɕʰ a̠ ŋ ɕʰ i	쥐창시
즉시	t͡ɕ ɯ k ɕ͈ i	즉씨
즐거움	t͡ɕ ɯ ɭ ɡ ʌ̹ u m	즐거움
즐겁다	t͡ɕ ɯ ɭ ɡ ʌ̹ p̚ t͈ a̠	즐겁따
증가	t͡ɕ ɯ ŋ ɡ a̠	증가
증가하다	t͡ɕ ɯ ŋ ɡ a̠ ɦ a̠ d a̠	증가하다
증거	t͡ɕ ɯ ŋ ɡ ʌ̹	증거
증권사	t͡ɕ ɯ ŋ k͈ w ʌ̹ n sʰ a̠	증꿘사
증기	t͡ɕ ɯ ŋ ɡ i	증기
증명	t͡ɕ ɯ ŋ m j ʌ̹ ŋ	증명
증명하다	t͡ɕ ɯ ŋ m j ʌ̹ ŋ ɦ a̠ d a̠	증명하다
증상	t͡ɕ ɯ ŋ sʰ a̠ ŋ	증상
증설	t͡ɕ ɯ ŋ sʰ ʌ̹ ɭ	증설
증설하다	t͡ɕ ɯ ŋ sʰ ʌ̹ ɾ ɦ a̠ d a̠	증설하다
증언	t͡ɕ ɯ ŋ ʌ̹ n	즈언
증여	t͡ɕ ɯ ŋ j ʌ̹	즈여
증오	t͡ɕ ɯ ŋ o̞	즈오
증오심	t͡ɕ ɯ ŋ o̞ ɕʰ i m	즈오심
증인	t͡ɕ ɯ ŋ i n	즈인
증조	t͡ɕ ɯ ŋ d͡ʑ o̞	증조
증조부	t͡ɕ ɯ ŋ d͡ʑ o̞ b u	증조부
증진하다	t͡ɕ ɯ ŋ d͡ʑ i n ɦ a̠ d a̠	증진하다
증후군	t͡ɕ ɯ ŋ β u ɡ u n	증후군
지각	t͡ɕ i ɡ a̠ k̚	지각
지갑	t͡ɕ i ɡ a̠ p̚	지갑
지게미	t͡ɕ i ɡ e̞ m i	지게미
지겹다	t͡ɕ i ɡ j ʌ̹ p̚ t͈ a̠	지겹따
지경	t͡ɕ i ɡ j ʌ̹ ŋ	지경
지구	t͡ɕ i ɡ u	지구
지구의	t͡ɕ i ɡ u ɰ i	지구의
지국	t͡ɕ i ɡ u k̚	지국
지금	t͡ɕ i ɡ ɯ m	지금
지긋하다	t͡ɕ i ɡ ɯ tʰ a̠ d a̠	지그타다
지껄이다	t͡ɕ i k͈ ʌ̹ ɾ i d a̠	지꺼리다
지나	t͡ɕ i n a̠	지나
지나다	t͡ɕ i n a̠ d a̠	지나다
지나치다	t͡ɕ i n a̠ t͡ɕʰ i d a̠	지나치다
지난	t͡ɕ i n a̠ n	지난
지난번	t͡ɕ i n a̠ n b ʌ̹ n	지난번
지난주	t͡ɕ i n a̠ ɲ d͡ʑ u	지난주
지니다	t͡ɕ i n i d a̠	지니다
지다	t͡ɕ i d a̠	지다
지도자	t͡ɕ i d o̞ d͡ʑ a̠	지도자
지랄하다	t͡ɕ i ɾ a̠ ɾ ɦ a̠ d a̠	지랄하다
지렁이	t͡ɕ i ɾ ʌ̹ ŋ i	지러이
지뢰	t͡ɕ i ɾ w e̞	지뢰
지루하다	t͡ɕ i ɾ u ɦ a̠ d a̠	지루하다
지류	t͡ɕ i ɾ j u	지류
지르코늄	t͡ɕ i ɾ ɯ kʰ o̞ ɲ j u m	지르코늄
지름	t͡ɕ i ɾ ɯ m	지름
지름길	t͡ɕ i ɾ ɯ m ɡ i ɭ	지름길
지리산	t͡ɕ i ɾ i sʰ a̠ n	지리산
지리학	t͡ɕ i ɾ i ɦ a̠ k̚	지리학
지린	t͡ɕ i ɾ i n	지린
지만	t͡ɕ i m a̠ n	지만
지면	t͡ɕ i m j ʌ̹ n	지면
지방	t͡ɕ i b a̠ ŋ	지방
지방산	t͡ɕ i b a̠ ŋ sʰ a̠ n	지방산
지복직관	t͡ɕ iː b o̞ k̚ t͡ɕ͈ i k̚ k͈ w a̠ n	지복찍꽌
지불	t͡ɕ i b u ɭ	지불
지붕	t͡ɕ i b u ŋ	지붕
지속적	t͡ɕ i sʰ o̞ k̚ t͡ɕ͈ ʌ̹ k̚	지속쩍
지시하다	t͡ɕ i ɕʰ i ɦ a̠ d a̠	지시하다
지식	t͡ɕ i ɕʰ i k̚	지식
지식인	t͡ɕ i ɕʰ i ɡ i n	지시긴
지압	t͡ɕ i a̠ p̚	지압
지역	t͡ɕ i j ʌ̹ k̚	지역
지역사회	t͡ɕ i j ʌ̹ k s͈ a̠ β w e̞	지역싸회
지옥	t͡ɕ i o̞ k̚	지옥
지우다	t͡ɕ i u d a̠	지우다
지원	t͡ɕ i w ʌ̹ n	지원
지원자	t͡ɕ i w ʌ̹ ɲ d͡ʑ a̠	지원자
지위	t͡ɕ i ɥ i	지위
지은이	t͡ɕ i ɯ n i	지으니
지저분하다	t͡ɕ i d͡ʑ ʌ̹ b u n ɦ a̠ d a̠	지저분하다
지적하다	t͡ɕ i d͡ʑ ʌ̹ kʰ a̠ d a̠	지저카다
지점	t͡ɕ i d͡ʑ ʌ̹ m	지점
지정학	t͡ɕ i d͡ʑ ʌ̹ ŋ ɦ a̠ k̚	지정학
지줌	t͡ɕ i d͡ʑ u m	지줌
지지	t͡ɕ i d͡ʑ i	지지
지진	t͡ɕ i d͡ʑ i n	지진
지질	t͡ɕ i d͡ʑ i ɭ	지질
지출	t͡ɕ i t͡ɕʰ u ɭ	지출
지치다	t͡ɕ iː t͡ɕʰ i d a̠	지치다
지칭하다	t͡ɕ i t͡ɕʰ i ŋ ɦ a̠ d a̠	지칭하다
지팡이	t͡ɕ i pʰ a̠ ŋ i	지파이
지폐	t͡ɕ i pʰ j e̞	지폐
지푸라기	t͡ɕ i pʰ u ɾ a̠ ɡ i	지푸라기
지하	t͡ɕ i ɦ a̠	지하
지하도	t͡ɕ i ɦ a̠ d o̞	지하도
지하드	t͡ɕ i ɦ a̠ d ɯ	지하드
지하실	t͡ɕ i ɦ a̠ ɕʰ i ɭ	지하실
지하철	t͡ɕ i ɦ a̠ t͡ɕʰ ʌ̹ ɭ	지하철
지하철역	t͡ɕ i ɦ a̠ t͡ɕʰ ʌ̹ ɾ j ʌ̹ k̚	지하처력
지혈	t͡ɕ i ʝ j ʌ̹ ɭ	지혈
지협	t͡ɕ i ʝ j ʌ̹ p̚	지협
지혜	t͡ɕ i ʝ j e̞	지혜
지휘자	t͡ɕ i ɦ ɥ i d͡ʑ a̠	지휘자
직감	t͡ɕ i k̚ k͈ a̠ m	직깜
직관	t͡ɕ i k̚ k͈ w a̠ n	직꽌
직기	t͡ɕ i k̚ k͈ i	직끼
직원	t͡ɕ i ɡ w ʌ̹ n	지권
직위	t͡ɕ i ɡ ɥ i	지귀
직전	t͡ɕ i k̚ t͡ɕ͈ ʌ̹ n	직쩐
직접	t͡ɕ i k̚ t͡ɕ͈ ʌ̹ p̚	직쩝
직접적	t͡ɕ i k̚ t͡ɕ͈ ʌ̹ p̚ t͡ɕ͈ ʌ̹ k̚	직쩝쩍
직후	t͡ɕ i kʰ u	지쿠
진공청소기	t͡ɕ i n ɡ o̞ ŋ t͡ɕʰ ʌ̹ ŋ sʰ o̞ ɡ i	진공청소기
진단	t͡ɕ iː n d a̠ n	진단
진동	t͡ɕ i n d o̞ ŋ	진동
진동수	t͡ɕ i n d o̞ ŋ sʰ u	진동수
진료소	t͡ɕ iː ʎ ʎ j o sʰ o̞	질료소
진루	t͡ɕ iː ɭ ɭ u	질루
진리	t͡ɕ i ʎ ʎ i	질리
진보	t͡ɕ iː n b o̞	진보
진부하다	t͡ɕ i n b u ɦ a̠ d a̠	진부하다
진실	t͡ɕ i n ɕʰ i ɭ	진실
진실하다	t͡ɕ i n ɕʰ i ɾ ɦ a̠ d a̠	진실하다
진압	t͡ɕ iː n a̠ p̚	지납
진열장	t͡ɕ iː ɲ j ʌ̹ ʎ d͡ʑ a̠ ŋ	지녈장
진주	t͡ɕ i ɲ d͡ʑ u	진주
진지	t͡ɕ iː ɲ d͡ʑ i	진지
진지하다	t͡ɕ i ɲ d͡ʑ i ɦ a̠ d a̠	진지하다
진짜	t͡ɕ i ɲ t͡ɕ͈ a̠	진짜
진출	t͡ɕ iː ɲ t͡ɕʰ u ɭ	진출
진한	t͡ɕ i n ɦ a̠ n	진한
진화	t͡ɕ i n β w a̠	진화
진흙	t͡ɕ i n ɣ ɯ k̚	진ɣㅡㄱ
질녀	t͡ɕ i ʎ ʎ j ʌ̹	질려
질량	t͡ɕ i ʎ ʎ j a̠ ŋ	질량
질리다	t͡ɕ i ʎ ʎ i d a̠	질리다
질문	t͡ɕ i ɭ m u n	질문
질문하다	t͡ɕ i ɭ m u n ɦ a̠ d a̠	질문하다
질병	t͡ɕ i ɭ b j ʌ̹ ŋ	질병
질서	t͡ɕ i ɭ s͈ ʌ̹	질써
질소	t͡ɕ i ɭ sʰ o̞	질소
질타	t͡ɕ i ɭ tʰ a̠	질타
질투	t͡ɕ i ɭ tʰ u	질투
질풍노도	t͡ɕ i ɭ pʰ u ŋ n o̞ d o̞	질풍노도
짊다	t͡ɕ i m t͈ a̠	짐따
짐바브웨	t͡ɕ i m b a̠ b ɯ w e̞	짐바브웨
짐승	t͡ɕ i m sʰ ɯ ŋ	짐승
짐작	t͡ɕ i m d͡ʑ a̠ k̚	짐작
집게	t͡ɕ i p̚ k͈ e̞	집께
집결	t͡ɕ i p̚ k͈ j ʌ̹ ɭ	집껼
집계	t͡ɕ i p̚ k͈ j e̞	집꼐
집권당	t͡ɕ i p̚ k͈ w ʌ̹ n d a̠ ŋ	집꿘당
집다	t͡ɕ i p̚ t͈ a̠	집따
집단화	t͡ɕ i p̚ t͈ a̠ n β w a̠	집딴화
집들	t͡ɕ i p̚ t͈ ɯ ɭ	집뜰
집박쥐	t͡ɕ i p̚ p͈ a̠ k̚ t͡ɕ͈ ɥ i	집빡쮜
집사	t͡ɕ i p s͈ a̠	집싸
