ᆜ	j ɯ
정부군	t͡ɕ ʌ̹ ŋ b u ɡ u n
정상	t͡ɕ ʌ̹ ŋ sʰ a̠ ŋ
정상위	t͡ɕ ʌ̹ ŋ sʰ a̠ ŋ ɥ i
정신과	t͡ɕ ʌ̹ ŋ ɕʰ i n k͈ w a̠
정신승리	t͡ɕ ʌ̹ ŋ ɕʰ i n sʰ ɯ ŋ n i
정어리	t͡ɕ ʌ̹ ŋ ʌ̹ ɾ i
정역학	t͡ɕ ʌ̹ ŋ ɲ ʌ̹ kʰ a̠ k̚
정자	t͡ɕ ʌ̹ ŋ d͡ʑ a̠
정찰	t͡ɕ ʌ̹ ŋ t͡ɕʰ a̠ ɭ
정찰병	t͡ɕ ʌ̹ ŋ t͡ɕʰ a̠ ɭ b j ʌ̹ ŋ
정찰하다	t͡ɕ ʌ̹ ŋ t͡ɕʰ a̠ ɾ ɦ a̠ d a̠
정체	t͡ɕ ʌ̹ ŋ t͡ɕʰ e̞
정치범	t͡ɕ ʌ̹ ŋ t͡ɕʰ i b ʌ̹ m
정치질	t͡ɕ ʌ̹ ŋ t͡ɕʰ i d͡ʑ i ɭ
젖	t͡ɕ ʌ̹ t̚
젖꼴만들기	t͡ɕ ʌ̹ t̚ k͈ o̞ ɭ m a̠ n d ɯ ɭ ɡ i
제	t͡ɕ e̞
제갈량	t͡ɕ e̞ ɡ a̠ ʎ ʎ a̠ ŋ
제곱근	t͡ɕ e̞ ɡ o̞ p̚ k͈ ɯ n
제곱미터	t͡ɕ e̞ ɡ o̞ m m i tʰ ʌ̹
제구력	t͡ɕ e̞ː ɡ u ɾ j ʌ̹ k̚
제국	t͡ɕ e̞ː ɡ u k̚
제논	t͡ɕ e̞ n o̞ n
제니	t͡ɕ e̞ n i
제도	t͡ɕ e̞ d o̞
제독	t͡ɕ e̞ d o̞ k̚
제동기	t͡ɕ e̞ː d o̞ ŋ ɡ i
제비꽃	t͡ɕ e̞ b i k͈ o̞ t̚
제시하다	t͡ɕ e̞ ɕʰ i ɦ a̠ d a̠
제외하다	t͡ɕ e̞ w e̞ ɦ a̠ d a̠
제원	t͡ɕ e̞ w ʌ̹ n
제유법	t͡ɕ e̞ j u p͈ ʌ̹ p̚
제의하다	t͡ɕ e̞ ɰ i ɦ a̠ d a̠
제인	t͡ɕ e̞ i n
제정신	t͡ɕ e̞ d͡ʑ ʌ̹ ŋ ɕʰ i n
제조자	t͡ɕ e̞ː d͡ʑ o̞ d͡ʑ a̠
제조하다	t͡ɕ e̞ː d͡ʑ o̞ ɦ a̠ d a̠
제주도롱뇽	t͡ɕ e̞ː d͡ʑ u d o̞ ɾ o̞ ŋ ɲ o ŋ
제주모치망둑	t͡ɕ e̞ː d͡ʑ u m o̞ t͡ɕʰ i m a̠ ŋ d u k̚
제주특별자치도	t͡ɕ e̞ː d͡ʑ u tʰ ɯ k̚ p͈ j ʌ̹ ʎ d͡ʑ a̠ t͡ɕʰ i d o̞
제휴	t͡ɕ e̞ ʝ u
제힘움직씨	t͡ɕ e̞ ʝ i m u m d͡ʑ i k ɕ͈ i
젤	t͡ɕ e̞ ɭ
조	t͡ɕ o̞
조각가	t͡ɕ o̞ ɡ a̠ k̚ k͈ a̠
조공	t͡ɕ o̞ ɡ o̞ ŋ
조교	t͡ɕ o̞ ɡ j o
조그맣다	t͡ɕ o̞ ɡ ɯ m a̠ tʰ a̠
조동사	t͡ɕ o̞ d o̞ ŋ sʰ a̠
조로아스터	t͡ɕ o̞ ɾ o̞ a̠ sʰ ɯ tʰ ʌ̹
조루	t͡ɕ o̞ː ɾ u
조르다	t͡ɕ o̞ ɾ ɯ d a̠
조리	t͡ɕ o̞ ɾ i
조리다	t͡ɕ o̞ ɾ i d a̠
조리하다	t͡ɕ o̞ ɾ i ɦ a̠ d a̠
조립하다	t͡ɕ o̞ ɾ i pʰ a̠ d a̠
조마조마하다	t͡ɕ o̞ m a̠ d͡ʑ o̞ m a̠ ɦ a̠ d a̠
조물주	t͡ɕ o̞ː m u ʎ t͡ɕ͈ u
조뼛조뼛	t͡ɕ o̞ p͈ j ʌ̹ t̚ t͡ɕ͈ o̞ p͈ j ʌ̹ t̚
조사관	t͡ɕ o̞ sʰ a̠ ɡ w a̠ n
조선	t͡ɕ o̞ sʰ ʌ̹ n
조선글	t͡ɕ o̞ sʰ ʌ̹ n ɡ ɯ ɭ
조선봉건왕조	t͡ɕ o̞ sʰ ʌ̹ n b o̞ ŋ ɡ ʌ̹ n w a̠ ŋ d͡ʑ o̞
조선옷	t͡ɕ o̞ sʰ ʌ̹ n o̞ t̚
조선족	t͡ɕ o̞ sʰ ʌ̹ ɲ d͡ʑ o̞ k̚
조심하다	t͡ɕ o̞ː ɕʰ i m ɦ a̠ d a̠
조언하다	t͡ɕ o̞ː ʌ̹ n ɦ a̠ d a̠
조율	t͡ɕ o̞ j u ɭ
조지	t͡ɕ o̞ d͡ʑ i
조촐하다	t͡ɕ o̞ t͡ɕʰ o̞ ɾ ɦ a̠ d a̠
조한	t͡ɕ o̞ ɦ a̠ n
조합형	t͡ɕ o̞ ɦ a̠ pʰ j ʌ̹ ŋ
조혈	t͡ɕ o̞ ʝ ʌ̹ ɭ
조화롭다	t͡ɕ o̞ β w a̠ ɾ o̞ p̚ t͈ a̠
조회수	t͡ɕ o̞ː β w e̞ s͈ u
족	t͡ɕ o̞ k̚
족집게	t͡ɕ o̞ k̚ t͡ɕ͈ i p̚ k͈ e̞
존	t͡ɕ o̞ n
존경하다	t͡ɕ o̞ n ɡ j ʌ̹ ŋ ɦ a̠ d a̠
존버	t͡ɕ o̞ n b ʌ̹
존예	t͡ɕ o̞ ɲ e̞
존잘남	t͡ɕ o̞ ɲ d͡ʑ a̠ ɭ ɭ a̠ m
존호	t͡ɕ o̞ n β o̞
졸	t͡ɕ o̞ ɭ
졸도	t͡ɕ o̞ ɭ d o̞
졸리다	t͡ɕ o̞ ʎ ʎ i d a̠
졸망	t͡ɕ o̞ ɭ m a̠ ŋ
졸인젖	t͡ɕ o̞ ɾ i ɲ d͡ʑ ʌ̹ t̚
졸작	t͡ɕ o̞ ʎ t͡ɕ͈ a̠ k̚
졸참나무	t͡ɕ o̞ ʎ t͡ɕʰ a̠ m n a̠ m u
좀	t͡ɕ o̞ m
좀구굴치	t͡ɕ o̞ m ɡ u ɡ u ʎ t͡ɕʰ i
종	t͡ɕ o̞ ŋ
종가시나무	t͡ɕ o̞ ŋ ɡ a̠ ɕʰ i n a̠ m u
종결	t͡ɕ o̞ ŋ ɡ j ʌ̹ ɭ
종국	t͡ɕ o̞ ŋ ɡ u k̚
종다리	t͡ɕ o̞ ŋ d a̠ ɾ i
종렬	t͡ɕ o̞ ŋ ɲ ʌ̹ ɭ
종료하다	t͡ɕ o̞ ŋ ɲ o ɦ a̠ d a̠
종성	t͡ɕ o̞ ŋ sʰ ʌ̹ ŋ
종어	t͡ɕ o̞ ŋ ʌ̹
종적	t͡ɕ o̞ ŋ d͡ʑ ʌ̹ k̚
종지부	t͡ɕ o̞ ŋ d͡ʑ i b u
종횡가	t͡ɕ o̞ ŋ β w e̞ ŋ ɡ a̠
좆	t͡ɕ o̞ t̚
좆같다	t͡ɕ o̞ t̚ k͈ a̠ t̚ t͈ a̠
좆나	t͡ɕ o̞ n n a̠
좆되다	t͡ɕ o̞ t̚ t͈ w e̞ d a̠
좆목	t͡ɕ o̞ n m o̞ k̚
좆문가	t͡ɕ o̞ n m u n ɡ a̠
좆물	t͡ɕ o̞ n m u ɭ
좆밥	t͡ɕ o̞ t̚ p͈ a̠ p̚
좋이	t͡ɕ o̞ i
좌빨	t͡ɕ w a̠ː p͈ a̠ ɭ
좌식	t͡ɕ w a̠ː ɕʰ i k̚
좌안	t͡ɕ w a̠ a̠ n
좌우명	t͡ɕ w a̠ː u m j ʌ̹ ŋ
좌좀	t͡ɕ w a̠ː d͡ʑ o̞ m
좌지우지	t͡ɕ w a̠ d͡ʑ i u d͡ʑ i
좌파	t͡ɕ w a̠ː pʰ a̠
좽이	t͡ɕ w ɛː ŋ i
죄	t͡ɕ w e̞ː
죄수복	t͡ɕ w e̞ː sʰ u b o̞ k̚
죙이	t͡ɕ w e̞ ŋ i
죠지아	t͡ɕ o̞ d͡ʑ i a̠
주	t͡ɕ u
주가	t͡ɕ u k͈ a̠
주걱뿔사슴	t͡ɕ u ɡ ʌ̹ k̚ p͈ u ɭ sʰ a̠ sʰ ɯ m
주검	t͡ɕ u ɡ ʌ̹ m
주격	t͡ɕ u k͈ j ʌ̹ k̚
주구	t͡ɕ u ɡ u
주기	t͡ɕ u ɡ i
주기율표	t͡ɕ u ɡ i j u ɭ pʰ j o
주년	t͡ɕ u ɲ ʌ̹ n
주노	t͡ɕ u n o̞
주두	t͡ɕ u d u
주둥이	t͡ɕ u d u ŋ i
주둥치	t͡ɕ u d u ŋ t͡ɕʰ i
주라	t͡ɕ u ɾ a̠
주리다	t͡ɕ uː ɾ i d a̠
주먹밥	t͡ɕ u m ʌ̹ k̚ p͈ a̠ p̚
주목하다	t͡ɕ u m o̞ kʰ a̠ d a̠
주문하다	t͡ɕ uː m u n ɦ a̠ d a̠
주바	t͡ɕ u b a̠
주발	t͡ɕ u b a̠ ɭ
주비	t͡ɕ u b i
주뼛	t͡ɕ u p͈ j ʌ̹ t̚
주뼛주뼛	t͡ɕ u p͈ j ʌ̹ t̚ t͡ɕ͈ u p͈ j ʌ̹ t̚
주시	t͡ɕ uː ɕʰ i
주어지다	t͡ɕ u ʌ̹ d͡ʑ i d a̠
주억	t͡ɕ u ʌ̹ k̚
주의	t͡ɕ u ɰ i
주의하다	t͡ɕ u ɰ i ɦ a̠ d a̠
주일	t͡ɕ u i ɭ
주작	t͡ɕ u d͡ʑ a̠ k̚
주저앉다	t͡ɕ u d͡ʑ ʌ̹ a̠ n t͈ a̠
주정꾼	t͡ɕ uː d͡ʑ ʌ̹ ŋ k͈ u n
주제가	t͡ɕ u d͡ʑ e̞ ɡ a̠
주제곡	t͡ɕ u d͡ʑ e̞ ɡ o̞ k̚
주차하다	t͡ɕ uː t͡ɕʰ a̠ ɦ a̠ d a̠
주체스럽다	t͡ɕ u t͡ɕʰ e̞ sʰ ɯ ɾ ʌ̹ p̚ t͈ a̠
주판	t͡ɕ uː pʰ a̠ n
죽	t͡ɕ u k̚
죽이다	t͡ɕ u ɡ i d a̠
준주	t͡ɕ uː ɲ d͡ʑ u
줄	t͡ɕ u ɭ
줄납자루	t͡ɕ u ɭ ɭ a̠ p̚ t͡ɕ͈ a̠ ɾ u
줄망둑	t͡ɕ u ɭ m a̠ ŋ d u k̚
줄임말	t͡ɕ u ɾ i m m a̠ ɭ
줄풀	t͡ɕ u ɭ pʰ u ɭ
중	t͡ɕ u ŋ
중공업	t͡ɕ uː ŋ ɡ o̞ ŋ ʌ̹ p̚
중국말	t͡ɕ u ŋ ɡ u ŋ m a̠ ɭ
중뇌	t͡ɕ u ŋ n w e̞
중도주의	t͡ɕ u ŋ d o̞ d͡ʑ u ɰ i
중령	t͡ɕ u ŋ ɲ ʌ̹ ŋ
중미주	t͡ɕ u ŋ m i d͡ʑ u
중복되다	t͡ɕ uː ŋ b o̞ k̚ t͈ w e̞ d a̠
중세국어	t͡ɕ u ŋ sʰ e̞ ɡ u ɡ ʌ̹
중식	t͡ɕ u ŋ ɕʰ i k̚
중심지	t͡ɕ u ŋ ɕʰ i m d͡ʑ i
중얼거리다	t͡ɕ u ŋ ʌ̹ ɭ ɡ ʌ̹ ɾ i d a̠
중얼중얼	t͡ɕ u ŋ ʌ̹ ʎ d͡ʑ u ŋ ʌ̹ ɭ
중요시	t͡ɕ uː ŋ j o ɕʰ i
중요시되다	t͡ɕ uː ŋ j o ɕʰ i d w e̞ d a̠
중용	t͡ɕ u ŋ j o ŋ
중자	t͡ɕ u ŋ d͡ʑ a̠
중장	t͡ɕ u ŋ d͡ʑ a̠ ŋ
중천	t͡ɕ u ŋ t͡ɕʰ ʌ̹ n
중추절	t͡ɕ u ŋ t͡ɕʰ u d͡ʑ ʌ̹ ɭ
중하다	t͡ɕ uː ŋ ɦ a̠ d a̠
줘	t͡ɕ w ʌ̹
줴치다	t͡ɕ w e̞ː t͡ɕʰ i d a̠
쥐	t͡ɕ ɥ i
쥐다	t͡ɕ ɥ iː d a̠
쥐며느리	t͡ɕ ɥ i m j ʌ̹ n ɯ ɾ i
쥑이다	t͡ɕ ɥ i ɡ i d a̠
쥬스	t͡ɕ u sʰ ɯ
즉	t͡ɕ ɯ k̚
즉각	t͡ɕ ɯ k̚ k͈ a̠ k̚
즉결	t͡ɕ ɯ k̚ k͈ j ʌ̹ ɭ
즉답	t͡ɕ ɯ k̚ t͈ a̠ p̚
즉사	t͡ɕ ɯ k s͈ a̠
즉석	t͡ɕ ɯ k s͈ ʌ̹ k̚
즉위	t͡ɕ ɯ ɡ ɥ i
즉일	t͡ɕ ɯ ɡ i ɭ
즉흥	t͡ɕ ɯ k x ɯ ŋ
즐	t͡ɕ ɯ ɭ
즐비	t͡ɕ ɯ ɭ b i
즐비하다	t͡ɕ ɯ ɭ b i ɦ a̠ d a̠
즘게	t͡ɕ ɯ m ɡ e̞
즙	t͡ɕ ɯ p̚
증	t͡ɕ ɯ ŋ
증가되다	t͡ɕ ɯ ŋ ɡ a̠ d w e̞ d a̠
증기선	t͡ɕ ɯ ŋ ɡ i sʰ ʌ̹ n
증류수	t͡ɕ ɯ ŋ ɲ u sʰ u
증류하다	t͡ɕ ɯ ŋ ɲ u ɦ a̠ d a̠
증발	t͡ɕ ɯ ŋ b a̠ ɭ
증조부모	t͡ɕ ɯ ŋ d͡ʑ o̞ b u m o̞
지	t͡ɕ i
지각자	t͡ɕ i ɡ a̠ k̚ t͡ɕ͈ a̠
지각하다	t͡ɕ i ɡ a̠ kʰ a̠ d a̠
지게	t͡ɕ i ɡ e̞
지게차	t͡ɕ i ɡ e̞ t͡ɕʰ a̠
지골리다	t͡ɕ i ɡ o̞ ʎ ʎ i d a̠
지과	t͡ɕ i ɡ w a̠
지권	t͡ɕ i k͈ w ʌ̹ n
지급시	t͡ɕ i ɡ ɯ p ɕ͈ i
지끔	t͡ɕ i k͈ ɯ m
지낙	t͡ɕ i n a̠ k̚
지난밤	t͡ɕ i n a̠ n b a̠ m
지남석	t͡ɕ i n a̠ m sʰ ʌ̹ k̚
지네	t͡ɕ i n e̞
지도력	t͡ɕ i d o̞ ɾ j ʌ̹ k̚
지동설	t͡ɕ i d o̞ ŋ sʰ ʌ̹ ɭ
지렁	t͡ɕ i ɾ ʌ̹ ŋ
지루다	t͡ɕ i ɾ u d a̠
지르다	t͡ɕ i ɾ ɯ d a̠
지리	t͡ɕ i ɾ i
지리학자	t͡ɕ i ɾ i ɦ a̠ k̚ t͡ɕ͈ a̠
지명하다	t͡ɕ i m j ʌ̹ ŋ ɦ a̠ d a̠
지문	t͡ɕ i m u n
지방자치	t͡ɕ i b a̠ ŋ d͡ʑ a̠ t͡ɕʰ i
지방족	t͡ɕ i b a̠ ŋ d͡ʑ o̞ k̚
지부티	t͡ɕ i b u tʰ i
지불하다	t͡ɕ i b u ɾ ɦ a̠ d a̠
지빠귀	t͡ɕ i p͈ a̠ ɡ ɥ i
지아비	t͡ɕ i a̠ b i
지옥철	t͡ɕ i o̞ k̚ t͡ɕʰ ʌ̹ ɭ
지완	t͡ɕ i w a̠ n
지완하다	t͡ɕ i w a̠ n ɦ a̠ d a̠
지원하다	t͡ɕ i w ʌ̹ n ɦ a̠ d a̠
지읒	t͡ɕ i ɯ t̚
지의류	t͡ɕ i ɰ i ɾ j u
지장	t͡ɕ i d͡ʑ a̠ ŋ
지저귀다	t͡ɕ i d͡ʑ ʌ̹ ɡ ɥ i d a̠
지적	t͡ɕ i d͡ʑ ʌ̹ k̚
지적되다	t͡ɕ i d͡ʑ ʌ̹ k̚ t͈ w e̞ d a̠
지지부진	t͡ɕ i d͡ʑ i b u d͡ʑ i n
지지하다	t͡ɕ i d͡ʑ i ɦ a̠ d a̠
지진학	t͡ɕ i d͡ʑ i n ɦ a̠ k̚
지질학자	t͡ɕ i d͡ʑ i ɾ ɦ a̠ k̚ t͡ɕ͈ a̠
지척	t͡ɕ i t͡ɕʰ ʌ̹ k̚
지침	t͡ɕ i t͡ɕʰ i m
지피다	t͡ɕ i pʰ i d a̠
지하누비	t͡ɕ i ɦ a̠ n u b i
지형	t͡ɕ i ʝ ʌ̹ ŋ
지형학	t͡ɕ i ʝ ʌ̹ ŋ ɦ a̠ k̚
지혜롭다	t͡ɕ i ʝ e̞ ɾ o̞ p̚ t͈ a̠
지혜서	t͡ɕ i ʝ e̞ sʰ ʌ̹
지휘	t͡ɕ i ɦ ɥ i
직	t͡ɕ i k̚
직경	t͡ɕ i k̚ k͈ j ʌ̹ ŋ
직구	t͡ɕ i k̚ k͈ u
직무	t͡ɕ i ŋ m u
직발	t͡ɕ i k̚ p͈ a̠ ɭ
직분	t͡ɕ i k̚ p͈ u n
직선	t͡ɕ i k s͈ ʌ̹ n
직설법	t͡ɕ iː k s͈ ʌ̹ ɭ p͈ ʌ̹ p̚
직승기	t͡ɕ i k s͈ ɯ ŋ ɡ i
직업여성	t͡ɕ i ɡ ʌ̹ m ɲ ʌ̹ sʰ ʌ̹ ŋ
직접화법	t͡ɕ i k̚ t͡ɕ͈ ʌ̹ pʰ w a̠ b ʌ̹ p̚
진공관	t͡ɕ i n ɡ o̞ ŋ ɡ w a̠ n
진급	t͡ɕ iː n ɡ ɯ p̚
진뗑이	t͡ɕ i n t͈ e̞ ŋ i
진랍	t͡ɕ i ɭ ɭ a̠ p̚
진상	t͡ɕ i n sʰ a̠ ŋ
진실게임	t͡ɕ i n ɕʰ i ɭ k͈ e̞ i m
진압하다	t͡ɕ i n a̠ pʰ a̠ d a̠
진언	t͡ɕ i n ʌ̹ n
진여	t͡ɕ i ɲ ʌ̹
진열	t͡ɕ iː ɲ ʌ̹ ɭ
진입	t͡ɕ i n i p̚
진정하다	t͡ɕ i ɲ d͡ʑ ʌ̹ ŋ ɦ a̠ d a̠
진주층	t͡ɕ i ɲ d͡ʑ u t͡ɕʰ ɯ ŋ
진찰	t͡ɕ iː ɲ t͡ɕʰ a̠ ɭ
진찰하다	t͡ɕ iː ɲ t͡ɕʰ a̠ ɾ ɦ a̠ d a̠
질	t͡ɕ i ɭ
질식	t͡ɕ i ɭ ɕʰ i k̚
질식하다	t͡ɕ i ɭ ɕʰ i kʰ a̠ d a̠
질주	t͡ɕ i ʎ t͡ɕ͈ u
질주하다	t͡ɕ i ʎ t͡ɕ͈ u ɦ a̠ d a̠
질타하다	t͡ɕ i ɭ tʰ a̠ ɦ a̠ d a̠
질투하다	t͡ɕ i ɭ tʰ u ɦ a̠ d a̠
짊어지다	t͡ɕ i ɭ m ʌ̹ d͡ʑ i d a̠
짐	t͡ɕ i m
짐꾼	t͡ɕ i m k͈ u n
짐작하다	t͡ɕ i m d͡ʑ a̠ kʰ a̠ d a̠
짐치	t͡ɕ i m t͡ɕʰ i
집	t͡ɕ i p̚
집난이	t͡ɕ i m n a̠ n i
집락	t͡ɕ i m n a̠ k̚
집비둘기	t͡ɕ i p̚ p͈ i d u ɭ ɡ i
집안일	t͡ɕ i b a̠ n i ɭ
집오리	t͡ɕ i b o̞ ɾ i
집유령거미	t͡ɕ i b j u ɾ j ʌ̹ ŋ ɡ ʌ̹ m i
집주인	t͡ɕ i p̚ t͡ɕ͈ u i n
집중력	t͡ɕ i p̚ t͡ɕ͈ u ŋ ɲ ʌ̹ k̚
집착	t͡ɕ i p̚ t͡ɕʰ a̠ k̚
집회서	t͡ɕ i pʰ w e̞ sʰ ʌ̹
짓	t͡ɕ iː t̚
짓궂다	t͡ɕ iː t̚ k͈ u t̚ t͈ a̠
짓이기다	t͡ɕ i n n i ɡ i d a̠
징	t͡ɕ i ŋ
징거미	t͡ɕ i ŋ ɡ ʌ̹ m i
징그럽다	t͡ɕ i ŋ ɡ ɯ ɾ ʌ̹ p̚ t͈ a̠
징벌	t͡ɕ i ŋ b ʌ̹ ɭ
징역	t͡ɕ i ŋ j ʌ̹ k̚
징조	t͡ɕ i ŋ d͡ʑ o̞
짖다	t͡ɕ i t̚ t͈ a̠
짚	t͡ɕ i p̚
짚티미	t͡ɕ i p̚ tʰ i m i
짜	t͡ɕ͈ a̠
짜굽다	t͡ɕ͈ a̠ ɡ u p̚ t͈ a̠
짝	t͡ɕ͈ a̠ k̚
짝남	t͡ɕ͈ a̠ ŋ n a̠ m
짝녀	t͡ɕ͈ a̠ ŋ ɲ ʌ̹
짠지	t͡ɕ͈ a̠ ɲ d͡ʑ i
짤	t͡ɕ͈ a̠ ɭ
짤방	t͡ɕ͈ a̠ ɭ b a̠ ŋ
짤줍	t͡ɕ͈ a̠ ʎ d͡ʑ u p̚
짤줍하다	t͡ɕ͈ a̠ ʎ d͡ʑ u pʰ a̠ d a̠
짬	t͡ɕ͈ a̠ m
짬밥	t͡ɕ͈ a̠ m p͈ a̠ p̚
짭	t͡ɕ͈ a̠ p̚
짱	t͡ɕ͈ a̠ ŋ
짱꼴라	t͡ɕ͈ a̠ ŋ k͈ o̞ ɭ ɭ a̠
짱뚱어	t͡ɕ͈ a̠ ŋ t͈ u ŋ ʌ̹
쩔어	t͡ɕ͈ ʌ̹ ɾ ʌ̹
쩡	t͡ɕ͈ ʌ̹ ŋ
쪄	t͡ɕ͈ ʌ̹
쪼박	t͡ɕ͈ o̞ b a̠ k̚
쪼뼛	t͡ɕ͈ o̞ p͈ j ʌ̹ t̚
쪼뼛쪼뼛	t͡ɕ͈ o̞ p͈ j ʌ̹ t̚ t͡ɕ͈ o̞ p͈ j ʌ̹ t̚
쪽	t͡ɕ͈ o̞ k̚
쫄깃하다	t͡ɕ͈ o̞ ɭ ɡ i tʰ a̠ d a̠
쫑쫑	t͡ɕ͈ o̞ ŋ t͡ɕ͈ o̞ ŋ
쬐다	t͡ɕ͈ w e̞ː d a̠
쭈뼛	t͡ɕ͈ u p͈ j ʌ̹ t̚
쭉	t͡ɕ͈ u k̚
쭝쯔	t͡ɕ͈ u ŋ t͡ɕ͈ ɯ
찌그러지다	t͡ɕ͈ i ɡ ɯ ɾ ʌ̹ d͡ʑ i d a̠
찌끄레기	t͡ɕ͈ i k͈ ɯ ɾ e̞ ɡ i
찌다	t͡ɕ͈ i d a̠
찌릿하다	t͡ɕ͈ i ɾ i tʰ a̠ d a̠
찌뿌둥하다	t͡ɕ͈ i p͈ u d u ŋ ɦ a̠ d a̠
찌아찌아어	t͡ɕ͈ i a̠ t͡ɕ͈ i a̠ ʌ̹
찌푸리다	t͡ɕ͈ i pʰ u ɾ i d a̠
찐	t͡ɕ͈ i n
찐따	t͡ɕ͈ i n t͈ a̠
찔게	t͡ɕ͈ i ɭ ɡ e̞
찔리다	t͡ɕ͈ i ʎ ʎ i d a̠
찜	t͡ɕ͈ i m
찡그리다	t͡ɕ͈ i ŋ ɡ ɯ ɾ i d a̠
찢	t͡ɕ͈ i t̚
찢다	t͡ɕ͈ i t̚ t͈ a̠
찢어지다	t͡ɕ͈ i d͡ʑ ʌ̹ d͡ʑ i d a̠
찧다	t͡ɕ͈ i tʰ a̠
차	t͡ɕʰ a̠
차감	t͡ɕʰ a̠ ɡ a̠ m
차근차근	t͡ɕʰ a̠ ɡ ɯ ɲ t͡ɕʰ a̠ ɡ ɯ n
차돌박이	t͡ɕʰ a̠ d o̞ ɭ b a̠ ɡ i
차르	t͡ɕʰ a̠ ɾ ɯ
차리다	t͡ɕʰ a̠ ɾ i d a̠
차리차	t͡ɕʰ a̠ ɾ i t͡ɕʰ a̠
차반	t͡ɕʰ a̠ b a̠ n
차분몫	t͡ɕʰ a̠ b u n m o̞ k̚
차분하다	t͡ɕʰ a̠ b u n ɦ a̠ d a̠
차악	t͡ɕʰ a̠ a̠ k̚
차용	t͡ɕʰ a̠ː j o ŋ
차용어	t͡ɕʰ a̠ː j o ŋ ʌ̹
차차웅	t͡ɕʰ a̠ t͡ɕʰ a̠ u ŋ
차축	t͡ɕʰ a̠ t͡ɕʰ u k̚
차터	t͡ɕʰ a̠ tʰ ʌ̹
차후	t͡ɕʰ a̠ β u
착	t͡ɕʰ a̠ k̚
착석하다	t͡ɕʰ a̠ k s͈ ʌ̹ kʰ a̠ d a̠
착잡	t͡ɕʰ a̠ k̚ t͡ɕ͈ a̠ p̚
착잡하다	t͡ɕʰ a̠ k̚ t͡ɕ͈ a̠ pʰ a̠ d a̠
착지	t͡ɕʰ a̠ k̚ t͡ɕ͈ i
찬	t͡ɕʰ a̠ n
찬란하다	t͡ɕʰ a̠ ɭ ɭ a̠ n ɦ a̠ d a̠
찬물	t͡ɕʰ a̠ n m u ɭ
찬미하다	t͡ɕʰ a̠ː n m i ɦ a̠ d a̠
찬반	t͡ɕʰ a̠ː n b a̠ n
찬성하다	t͡ɕʰ a̠ː n sʰ ʌ̹ ŋ ɦ a̠ d a̠
찬양	t͡ɕʰ a̠ː ɲ a̠ ŋ
찬탈	t͡ɕʰ a̠ː n tʰ a̠ ɭ
찰	t͡ɕʰ a̠ ɭ
찰벼	t͡ɕʰ a̠ ɭ b j ʌ̹
참	t͡ɕʰ a̠ m
참가하다	t͡ɕʰ a̠ m ɡ a̠ ɦ a̠ d a̠
참게	t͡ɕʰ a̠ m ɡ e̞
참나물	t͡ɕʰ a̠ m n a̠ m u ɭ
참돔	t͡ɕʰ a̠ m d o̞ m
참마자	t͡ɕʰ a̠ m m a̠ d͡ʑ a̠
참말로	t͡ɕʰ a̠ m m a̠ ɭ ɭ o̞
참모	t͡ɕʰ a̠ m m o̞
참바	t͡ɕʰ a̠ m b a̠
참별고기	t͡ɕʰ a̠ m b j ʌ̹ ɭ ɡ o̞ ɡ i
참수	t͡ɕʰ a̠ː m sʰ u
참신	t͡ɕʰ a̠ː m ɕʰ i n
참신하다	t͡ɕʰ a̠ː m ɕʰ i n ɦ a̠ d a̠
참여하다	t͡ɕʰ a̠ m j ʌ̹ ɦ a̠ d a̠
참조	t͡ɕʰ a̠ m d͡ʑ o̞
참주	t͡ɕʰ a̠ː m d͡ʑ u
참혹	t͡ɕʰ a̠ m β o̞ k̚
참회나무	t͡ɕʰ a̠ m β w e̞ n a̠ m u
찻물	t͡ɕʰ a̠ n m u ɭ
찻잎	t͡ɕʰ a̠ n n i p̚
찻주전자	t͡ɕʰ a̠ t̚ t͡ɕ͈ u d͡ʑ ʌ̹ ɲ d͡ʑ a̠
창	t͡ɕʰ a̠ ŋ
창가	t͡ɕʰ a̠ ŋ k͈ a̠
창공	t͡ɕʰ a̠ ŋ ɡ o̞ ŋ
창구	t͡ɕʰ a̠ ŋ ɡ u
창던지기	t͡ɕʰ a̠ ŋ d ʌ̹ ɲ d͡ʑ i ɡ i
창렬	t͡ɕʰ a̠ ŋ ɲ ʌ̹ ɭ
창립자	t͡ɕʰ a̠ː ŋ n i p̚ t͡ɕ͈ a̠
창설되다	t͡ɕʰ a̠ː ŋ sʰ ʌ̹ ɭ d w e̞ d a̠
창설자	t͡ɕʰ a̠ː ŋ sʰ ʌ̹ ʎ t͡ɕ͈ a̠
창설하다	t͡ɕʰ a̠ː ŋ sʰ ʌ̹ ɾ ɦ a̠ d a̠
창안	t͡ɕʰ a̠ ŋ a̠ n
창작물	t͡ɕʰ a̠ː ŋ d͡ʑ a̠ ŋ m u ɭ
창펀	t͡ɕʰ a̠ ŋ pʰ ʌ̹ n
창포검	t͡ɕʰ a̠ ŋ pʰ o̞ ɡ ʌ̹ m
채	t͡ɕʰ ɛː
처	t͡ɕʰ ʌ̹
처부모	t͡ɕʰ ʌ̹ b u m o̞
처자	t͡ɕʰ ʌ̹ d͡ʑ a̠
